DateTime, Active Energy Import (kWh)
10/03/2023 00:00:00, 0.811
10/03/2023 00:30:00, 0.27
10/03/2023 01:00:00, 0.432
10/03/2023 01:30:00, 0.796
10/03/2023 02:00:00, 0.727
10/03/2023 02:30:00, 0.22
10/03/2023 03:00:00, 0.542
10/03/2023 03:30:00, 0.662
10/03/2023 04:00:00, 0.576
10/03/2023 04:30:00, 0.395
10/03/2023 05:00:00, 0.181
10/03/2023 05:30:00, 0.723
10/03/2023 06:00:00, 0.64
10/03/2023 06:30:00, 0.315
10/03/2023 07:00:00, 0.285
10/03/2023 07:30:00, 0.75
10/03/2023 08:00:00, 0.536
10/03/2023 08:30:00, 0.491
10/03/2023 09:00:00, 0.697
10/03/2023 09:30:00, 0.738
10/03/2023 10:00:00, 0.268
10/03/2023 10:30:00, 0.059
10/03/2023 11:00:00, 0.655
10/03/2023 11:30:00, 0.101
10/03/2023 12:00:00, 0.063
10/03/2023 12:30:00, 0.58
10/03/2023 13:00:00, 0.079
10/03/2023 13:30:00, 0.173
10/03/2023 14:00:00, 0.66
10/03/2023 14:30:00, 0.594
10/03/2023 15:00:00, 1.585
10/03/2023 15:30:00, 1.808
10/03/2023 16:00:00, 0.921
10/03/2023 16:30:00, 0.886
10/03/2023 17:00:00, 0.397
10/03/2023 17:30:00, 0.391
10/03/2023 18:00:00, 0.558
10/03/2023 18:30:00, 0.084
10/03/2023 19:00:00, 0.795
10/03/2023 19:30:00, 0.823
10/03/2023 20:00:00, 0.947
10/03/2023 20:30:00, 0.662
10/03/2023 21:00:00, 0.674
10/03/2023 21:30:00, 0.927
10/03/2023 22:00:00, 0.709
10/03/2023 22:30:00, 1.111
10/03/2023 23:00:00, 0.887
10/03/2023 23:30:00, 0.693
11/03/2023 00:00:00, 0.527
11/03/2023 00:30:00, 0.82
11/03/2023 01:00:00, 1.009
11/03/2023 01:30:00, 0.894
11/03/2023 02:00:00, 0.7
11/03/2023 02:30:00, 0.564
11/03/2023 03:00:00, 0.927
11/03/2023 03:30:00, 0.669
11/03/2023 04:00:00, 0.485
11/03/2023 04:30:00, 1.217
11/03/2023 05:00:00, 1.322
11/03/2023 05:30:00, 0.492
11/03/2023 06:00:00, 0.485
11/03/2023 06:30:00, 0.556
11/03/2023 07:00:00, 0.629
11/03/2023 07:30:00, 0.182
11/03/2023 08:00:00, 0.721
11/03/2023 08:30:00, 0.113
11/03/2023 09:00:00, 0.243
11/03/2023 09:30:00, 0.631
11/03/2023 10:00:00, 0.09
11/03/2023 10:30:00, 0.389
11/03/2023 11:00:00, 1.184
11/03/2023 11:30:00, 0.781
11/03/2023 12:00:00, 0.561
11/03/2023 12:30:00, 0.653
11/03/2023 13:00:00, 0.238
11/03/2023 13:30:00, 0.081
11/03/2023 14:00:00, 0.66
11/03/2023 14:30:00, 0.562
11/03/2023 15:00:00, 0.296
11/03/2023 15:30:00, 0.494
11/03/2023 16:00:00, 1.005
11/03/2023 16:30:00, 1.002
11/03/2023 17:00:00, 0.75
11/03/2023 17:30:00, 1.309
11/03/2023 18:00:00, 1.907
11/03/2023 18:30:00, 0.659
11/03/2023 19:00:00, 0.672
11/03/2023 19:30:00, 0.794
11/03/2023 20:00:00, 1.109
11/03/2023 20:30:00, 0.275
11/03/2023 21:00:00, 0.675
11/03/2023 21:30:00, 0.223
11/03/2023 22:00:00, 0.189
11/03/2023 22:30:00, 0.652
11/03/2023 23:00:00, 0.161
11/03/2023 23:30:00, 0.175
12/03/2023 00:00:00, 0.522
12/03/2023 00:30:00, 0.211
12/03/2023 01:00:00, 0.107
12/03/2023 01:30:00, 0.531
12/03/2023 02:00:00, 0.266
12/03/2023 02:30:00, 0.095
12/03/2023 03:00:00, 0.312
12/03/2023 03:30:00, 0.32
12/03/2023 04:00:00, 0.067
12/03/2023 04:30:00, 0.228
12/03/2023 05:00:00, 0.416
12/03/2023 05:30:00, 0.08
12/03/2023 06:00:00, 0.251
12/03/2023 06:30:00, 0.482
